file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Problem,Package,File,Priority,Line,Description,Rule set,Rule,ClassName,HasBadSmell
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\multitenant\LogTest.java,io.supertokens.test.multitenant.LogTest,class,15,15,0,15,6,1,0,25,3,1.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,10,53,2,1,1,0,0,14,3,10,1,8,1,0,0,0,48,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\session\api\HandshakeAPITest2_21.java,io.supertokens.test.session.api.HandshakeAPITest2_21,class,10,10,0,10,5,1,0,13,3,1.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,6,25,0,0,1,1,0,5,3,5,0,4,1,0,0,0,27,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\session\api\VerifySessionAPITest4_0.java,io.supertokens.test.session.api.VerifySessionAPITest4_0,class,14,14,0,14,8,1,0,45,28,1.0,0.0,0.0,8,1,8,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,30,245,0,0,0,0,0,217,43,79,0,78,1,0,0,0,86,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\ListConnectionUriDomainsAPI.java,io.supertokens.webserver.api.multitenancy.ListConnectionUriDomainsAPI,class,12,13,1,12,11,3,0,18,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,1,58,1,4,0,1,0,11,2,15,1,15,4,0,0,0,72,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\accountlinking\UserIdMappingTest.java,io.supertokens.test.accountlinking.UserIdMappingTest,class,11,11,0,11,8,1,0,23,6,1.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,5,57,2,0,2,2,0,10,0,9,0,9,1,0,0,0,31,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\inmemorydb\queries\TOTPQueries.java,io.supertokens.inmemorydb.queries.TOTPQueries,class,13,16,3,13,23,1,0,26,153,0.0,0.0,0.0,18,18,16,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,195,22,3,0,0,3,70,46,18,20,35,2,0,2,17,106,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\CreateOrUpdateAppAPI.java,io.supertokens.webserver.api.multitenancy.CreateOrUpdateAppAPI,class,12,13,1,12,14,4,0,18,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,13,56,1,2,3,1,0,16,3,23,0,16,3,0,0,0,67,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\inmemorydb\queries\DashboardQueries.java,io.supertokens.inmemorydb.queries.DashboardQueries$DashboardUserInfoResultExtractor,innerclass,3,3,0,3,2,1,0,5,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,1,0,1,1,0,0,0,12,10,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\emailpassword\EmailPasswordTest.java,io.supertokens.test.emailpassword.EmailPasswordTest,class,25,25,0,25,89,1,0,54,465,1.0,0.0,0.0,31,1,31,0,0,0,31,0,0,0,1,0,1,0,0,0,0,0,46,571,28,1,41,16,62,169,34,123,3,114,2,0,0,0,146,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\useridmapping\UpdateExternalUserIdInfoAPI.java,io.supertokens.webserver.api.useridmapping.UpdateExternalUserIdInfoAPI,class,11,12,1,11,13,3,0,12,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,5,58,2,0,4,1,0,16,6,15,0,10,2,0,0,0,64,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\emailverification\api\VerifyEmailAPITest2_7.java,io.supertokens.test.emailverification.api.VerifyEmailAPITest2_7,class,10,10,0,10,16,1,0,22,10,1.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,14,109,3,0,7,4,0,68,23,18,2,18,2,0,0,0,57,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\totp\api\MultitenantAPITest.java,io.supertokens.test.totp.api.MultitenantAPITest,class,20,21,1,20,20,1,0,34,0,0.5625,0.6666667,0.6666667,12,1,6,6,0,0,6,0,0,0,2,0,0,0,0,2,0,0,16,135,6,3,4,1,2,60,23,33,6,33,2,0,0,0,86,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\featureflag\exceptions\NoLicenseKeyFoundException.java,io.supertokens.featureflag.exceptions.NoLicenseKeyFoundException,class,0,2,2,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\passwordless\PasswordlessLinkCode.java,io.supertokens.passwordless.PasswordlessLinkCode,class,5,9,4,5,5,1,0,6,0,0.25,0.5,0.5,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,3,20,3,0,0,1,0,3,0,1,0,1,1,0,0,0,19,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\userRoles\api\RemoveUserRoleAPITest.java,io.supertokens.test.userRoles.api.RemoveUserRoleAPITest,class,12,12,0,12,22,1,0,26,15,1.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,17,151,4,0,10,6,0,83,35,28,6,28,2,0,0,0,69,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\ShutdownTest.java,io.supertokens.test.ShutdownTest,class,9,9,0,9,3,1,0,7,3,1.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,4,18,0,0,0,0,0,1,0,5,0,4,0,0,0,0,21,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\accountlinking\MultitenantTest.java,io.supertokens.test.accountlinking.MultitenantTest$TestCaseStep,innerclass,2,2,0,2,5,1,0,4,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,22,1,0,1,1,0,0,0,1,0,1,2,0,0,0,14,1034,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\ConfigTest2_6.java,io.supertokens.test.ConfigTest2_6,class,13,14,1,13,14,1,0,44,66,1.0,0.0,0.0,12,3,9,3,0,0,9,0,0,0,1,0,1,0,0,0,0,0,27,140,1,0,2,0,1,48,19,37,11,29,0,0,0,0,104,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\RemoveConnectionUriDomainAPI.java,io.supertokens.webserver.api.multitenancy.RemoveConnectionUriDomainAPI,class,11,12,1,11,6,3,0,10,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,4,31,1,0,0,1,0,7,2,7,0,6,2,0,0,0,62,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\RemoveTenantAPI.java,io.supertokens.webserver.api.multitenancy.RemoveTenantAPI,class,11,12,1,11,6,3,0,13,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,4,31,1,0,0,1,0,7,2,7,0,6,2,0,0,0,58,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\multitenant\api\TestThirdPartyProvider.java,io.supertokens.test.multitenant.api.TestThirdPartyProvider,class,14,14,0,14,11,1,0,26,0,0.14285715,0.71428573,0.71428573,7,1,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,13,69,4,0,4,0,0,33,3,21,0,14,1,0,0,0,37,1,0,,,,,,,,,,False
