file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Problem,Package,File,Priority,Line,Description,Rule set,Rule,ClassName,HasBadSmell
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\ima\ImaAdsLoader.java,androidx.media3.exoplayer.ima.ImaAdsLoader,class,10,12,2,10,8,1,0,0,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\dash\DefaultDashChunkSource.java,androidx.media3.exoplayer.dash.DefaultDashChunkSource$Factory,innerclass,1,1,0,1,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\react\VideoDecoderPropertiesModule.java,com.brentvatne.react.VideoDecoderPropertiesModule,class,11,13,2,11,17,2,0,10,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,84,6,1,2,1,0,13,8,18,0,13,1,0,0,0,62,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\dash\manifest\AdaptationSet.java,androidx.media3.exoplayer.dash.manifest.AdaptationSet,class,2,4,2,2,1,1,0,0,0,0.5,,,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,2,0,0,0,0,5,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\examples\exampletvOS\android\app\src\debug\java\com\exampletvos\ReactNativeFlipper.java,com.exampletvos.ReactNativeFlipper$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\FullScreenPlayerView.java,com.brentvatne.exoplayer.FullScreenPlayerView,class,14,17,3,14,9,2,0,20,3,0.5625,0.6,1.0,6,0,3,1,2,0,5,0,0,0,8,0,0,8,0,0,7,0,0,93,1,0,2,0,1,1,4,12,0,11,1,0,1,0,46,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainApplication.java,com.videocaching.MainApplication,class,3,3,0,3,2,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,21,1,0,0,0,0,0,0,1,0,1,0,1,0,0,9,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\DataSourceUtil.java,com.brentvatne.exoplayer.DataSourceUtil$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\dash\manifest\Period.java,androidx.media3.exoplayer.dash.manifest.Period,class,2,4,2,2,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\rtsp\RtspMediaSource.java,androidx.media3.exoplayer.rtsp.RtspMediaSource$Factory,innerclass,6,6,0,6,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,1,0,0,0,0,0,0,0,21,9,0,,,,,,,,,,False
